SKU No,Name,Rate/crt,Total Weight,Total Quantity,Weight (crt)/pc,S.No/Quantity,Notes
1108,Burma Ruby A,150,,17.0,1.0,,
1110,Dark Burma Ruby AA,300,,6.0,9.1,,
1107,Light Burma Ruby AA,300,,8.0,8.5,,
1106,Dark Small Burma Ruby,300,,10.0,3.55,,
1111,Transparent Ruby,85,,22.0,3.4,,
101,BKK Big blue sapphire,200,,6.0,12.5,,
1105,BKK Small blue sapphire,200,,25.0,1.3,,
102,Red Italian Coral,150,,22.0,1.8,,
1104,Round Pearl,100,,28.0,4.28,,
3006,Zambian Emerald,200,,10.0,4.43,,
4001,Ceylon Sapphire,1400,,19.0,2.33,,
220,Loose Zambian Emerald,165,,63.0,1.4,,
1101,BKK Yellow Sapphire,200,,21.0,2.3,,
5001,Kyanite Gemstone,50,,26.0,2.5,,
MOI-1-1,Moissanite,400,,6.0,1.0,,
YS-LR-1,Yellow Sapphire,120,,37.0,,,
EM-LR-1,Emerald,130,,7.0,,,
BR-P-1-1,Pearl Bracelet,100,,2.0,,,Piece-based item
BR-RC-1-1,Red Coral Bracelet,100,,10.0,,,Piece-based item
BR-TIG-1-1,Tiger Eye Bracelet,80,,1.0,,,Piece-based item
BR-MAG-1-1,Magnet Bracelet,60,,1.0,,,Piece-based item
BR-GAR-1-1,Green Garnet Bracelet,60,,1.0,,,Piece-based item
BR-EMB-1-1,Embedded Bracelet,50,,1.0,,,Piece-based item
